model,slice,n,tp,tn,fp,fn,accuracy,precision,recall,f1,kappa,inflation_rate,deflation_rate
gpt54,overall,90,67,3,2,18,0.7777777777777778,0.9710144927536232,0.788235294117647,0.8701298701298701,0.15492957746478875,0.022222222222222223,0.2
gpt54,coding,30,25,2,2,1,0.9,0.9259259259259259,0.9615384615384616,0.9433962264150944,0.5161290322580646,0.06666666666666667,0.03333333333333333
gpt54,instruction_following,30,18,0,0,12,0.6,1.0,0.6,0.7499999999999999,0.0,0.0,0.4
gpt54,math,30,24,1,0,5,0.8333333333333334,1.0,0.8275862068965517,0.9056603773584906,0.24242424242424213,0.0,0.16666666666666666
llama70b,overall,90,48,11,19,12,0.6555555555555556,0.7164179104477612,0.8,0.7559055118110236,0.17699115044247787,0.2111111111111111,0.13333333333333333
llama70b,coding,30,24,2,4,0,0.8666666666666667,0.8571428571428571,1.0,0.923076923076923,0.44444444444444453,0.13333333333333333,0.0
llama70b,instruction_following,30,7,6,9,8,0.43333333333333335,0.4375,0.4666666666666667,0.45161290322580644,-0.1333333333333333,0.3,0.26666666666666666
llama70b,math,30,17,3,6,4,0.6666666666666666,0.7391304347826086,0.8095238095238095,0.7727272727272727,0.15254237288135603,0.2,0.13333333333333333
qwen72b,overall,90,62,13,3,12,0.8333333333333334,0.9538461538461539,0.8378378378378378,0.8920863309352518,0.5328719723183393,0.03333333333333333,0.13333333333333333
qwen72b,coding,30,24,4,2,0,0.9333333333333333,0.9230769230769231,1.0,0.9600000000000001,0.761904761904762,0.06666666666666667,0.0
qwen72b,instruction_following,30,13,7,1,9,0.6666666666666666,0.9285714285714286,0.5909090909090909,0.7222222222222223,0.3534482758620689,0.03333333333333333,0.3
qwen72b,math,30,25,2,0,3,0.9,1.0,0.8928571428571429,0.9433962264150945,0.5263157894736844,0.0,0.1
